Reference.Code,Student.Number,Sex,Module.Language,Module.Duration,Module.City,module.lat,module.long,Module.Country,Home.Region,Home.Postal.Code
CTJP8545,2015-001-500563,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Colorado,80020
CTVR4372,2015-001-503532,Male,Chinese,Summer,Shanghai,31.2304,121.4737,China,New York,11220
CTVT7119,2015-001-502370,Female,Russian,Year,Chisinau,47.0105,28.8638,Moldova,Ohio,43220
CUDH3975,2015-001-501016,Male,Chinese,Summer,Zhuhai,22.271,113.5767,China,Maine,4217
CUJC2769,2015-001-509608,Female,Chinese,Summer,Shanghai,31.2304,121.4737,China,Washington,98108
CVEK5354,2015-001-501997,Male,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Virginia,23455
CVKN8811,2015-001-502379,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,New Jersey,7078
CVMF8762,2015-001-501385,Male,Chinese,Summer,Shanghai,31.2304,121.4737,China,Virginia,22205
CVTC4488,2015-001-501328,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Pennsylvania,19403
CWQU7715,2015-001-500974,Male,Chinese,Summer,Shanghai,31.2304,121.4737,China,North Carolina,28216
CXSS2947,2015-001-500532,Female,Russian,Summer,Narva,59.3797,28.1791,Estonia,Illinois,60550
CYTR1249,2015-001-502002,Male,Hindi,Summer,Pune,18.5204,73.8567,India,California,94306
CYWK7789,2015-001-501005,Female,Korean,Year,Seoul,37.5665,126.978,South Korea,Oregon,97330
CZSY6827,2015-001-501362,Male,Chinese,Summer,Nanjing,32.0603,118.7969,China,Florida,33326
DAWP5864,2015-001-502501,Male,Chinese,Summer,Shanghai,31.2304,121.4737,China,Nevada,89512
DBRQ3746,2015-001-501946,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Texas,75069
DBUA9296,2015-001-502974,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,Virginia,20165-7526
DBUT1225,2015-001-500962,Male,Arabic,Year,Marrakesh,31.6295,7.9811,Morocco,New York,13501
DCAB9576,2015-001-500609,Male,Russian,Year,Chisinau,47.0105,28.8638,Moldova,New Jersey,8053
DCBP4428,2015-001-503295,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Maryland,20912
DCMC3888,2015-001-509639,Male,Turkish,Summer,Bursa,40.1885,29.061,Turkey,New York,11232
DCSP8459,2015-001-502366,Male,Chinese,Summer,Suzhou,31.299,120.5853,China,Illinois,60014
DDZA1411,2015-001-500782,Male,Korean,Year,Seoul,37.5665,126.978,South Korea,Georgia,30039
DFUZ7961,2015-001-501070,Female,Turkish,Summer,Bursa,40.1885,29.061,Turkey,Connecticut,6708
DGQQ2961,2015-001-500588,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Wyoming,82009
DKGW1473,2015-001-503611,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Pennsylvania,18104
DKVS7273,2015-001-511277,Male,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4853
DMCG4461,2015-001-503748,Female,Chinese,Summer,Shanghai,31.2304,121.4737,China,Illinois,62269
DPRP4183,2015-001-503882,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Kansas,66207
DSWF8632,2015-001-503429,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Kentucky,40245
DSWU3657,2015-001-501143,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Arizona,85045
DTGZ5291,2015-001-501636,Female,Arabic,Summer,Muscat,23.5859,58.4059,Oman,Tennessee,38138
DWKM3792,2015-001-501061,Female,Chinese,Summer,Shanghai,31.2304,121.4737,China,Florida,32086
DWXX9723,2015-001-501434,Female,Russian,Summer,Kirov,58.4199,50.2097,Russia,California,91325
DXAJ3775,2015-001-500727,Female,Russian,Summer,Narva,59.3797,28.1791,Estonia,Virginia,23462
DXHP5366,2015-001-504464,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Oregon,97034
DXKH4325,2015-001-502318,Male,Chinese,Year,Kaohsiung,22.6273,120.3014,Taiwan,Florida,32578
DXNE5397,2015-001-500993,Female,Turkish,Year,Izmir,38.4237,27.1428,Turkey,Michigan,48103-9436
DZGT7198,2015-001-500435,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Idaho,83341
DZVC9854,2015-001-500513,Female,Korean,Summer,Songdo,37.3839,126.6439,South Korea,Illinois,60098
EAQB7513,2015-001-503907,Male,Turkish,Summer,Bursa,40.1885,29.061,Turkey,New York,11215
EBKM8571,2015-001-501448,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,South Carolina,29072
EBKQ5293,2015-001-502277,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Maryland,20912
EBPD5241,2015-001-501182,Male,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Texas,76001
ECRU9194,2015-001-501697,Female,Arabic,Year,Marrakesh,31.6295,7.9811,Morocco,North Carolina,28307
EDTT1969,2015-001-501616,Male,Chinese,Summer,Suzhou,31.299,120.5853,China,Texas,77401
EGDF4441,2015-001-500969,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,California,92128
EGXG5289,2015-001-502243,Female,Korean,Summer,Songdo,37.3839,126.6439,South Korea,Minnesota,55113
EHNG9259,2015-001-511305,Male,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Alaska,99516
EHSE9276,2015-001-501002,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Texas,77092
EKDC6694,2015-001-501663,Female,Chinese,Year,Beijing,39.9042,116.4074,China,New Jersey,8016
EKMV8261,2015-001-509640,Female,Russian,Summer,Kirov,58.4199,50.2097,Russia,Texas,77011
EKUD3722,2015-001-501982,Female,Korean,Year,Seoul,37.5665,126.978,South Korea,Massachusetts,1503
EMNA9982,2015-001-501994,Female,Chinese,Year,Beijing,39.9042,116.4074,China,Georgia,30350
EQHW9153,2015-001-501471,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,Oklahoma,74114
ESJS7867,2015-001-502624,Male,Russian,Summer,Narva,#N/A,#N/A,Estonia,,259957
ESPJ1593,2015-001-502460,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Indiana,47546
ETUM5738,2015-001-501284,Female,Persian (Tajik),Summer,Dushanbe,38.5598,68.787,Tajikistan,Florida,32561
EVUA3667,2015-001-500772,Male,Chinese,Summer,Zhuhai,22.271,113.5767,China,Massachusetts,2632
EWPG2115,2015-001-502421,Female,Chinese,Summer,Shanghai,31.2304,121.4737,China,California,91302
EYCV8112,2015-001-501643,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,Tennessee,38017
FABS4683,2015-001-503025,Female,Hindi,Summer,Indore,22.7196,75.8577,India,North Carolina,27517
FANV8389,2015-001-502696,Female,Chinese,Summer,Zhuhai,22.271,113.5767,China,Oregon,97702
FAQA1474,2015-001-503900,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,North Carolina,27278
FBEU6917,2015-001-503702,Male,Russian,Year,Chisinau,47.0105,28.8638,Moldova,New York,10024
FBPM3687,2015-001-509617,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Nevada,89032
FBUJ4192,2015-001-500651,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,District of Columbia,20015
FCHU9432,2015-001-503201,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Arkansas,72015
FDED6948,2015-001-502580,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Tennessee,37934
FEFK1558,2015-001-503419,Female,Korean,Year,Seoul,37.5665,126.978,South Korea,Connecticut,6708
FFSS6547,2015-001-502513,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Utah,84092
FFZR4547,2015-001-511302,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,California,93109
FHNW4857,2015-001-503133,Female,Turkish,Summer,Bursa,40.1885,29.061,Turkey,California,91711
FJVX2633,2015-001-502218,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Texas,76205
FKQB4889,2015-001-503374,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Colorado,80920
FKUN1748,2015-001-503447,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Kentucky,40206
FNTK8917,2015-001-503821,Male,Russian,Summer,Kirov,58.4199,50.2097,Russia,North Carolina,28104
FNZQ1599,2015-001-501212,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,Massachusetts,2461
